pid,position,name,throwing_errors,catching_errors,assists,putouts,innings_played,errors,defensive_chances,fielding_percentage
52697,starter,Neal Asiodu,2,0,0,0,7.33333333333333,2,2,0.0
55577,catcher,Jared Harris,0,0,0,0,12.000000000000004,0,0,
55136,relief,Kerry Barnhardt,2,0,0,0,4.666666666666666,2,2,0.0
66117,secondbase,Stephen Smith,0,0,0,0,12.000000000000004,0,0,
45348,rightfield,Tony Everett,0,0,0,0,12.000000000000004,0,0,
63233,shortstop,Karlos Smith,0,0,0,0,12.000000000000004,0,0,
61452,centerfield,A.J. Oswalt,0,0,0,0,12.000000000000004,0,0,
53116,firstbase,John Redmond,0,0,0,0,12.000000000000004,0,0,
45707,thirdbase,Steve Delong,0,1,0,0,12.000000000000004,1,1,0.0
53288,leftfield,Logan Stephens,0,0,0,0,12.000000000000004,0,0,
